기간,대분류,분류,종합,환승이용,정류장위치,운행시간,도착시간,요금
2012,서울시,서울시,6.03,6.82,6.14,6.13,5.72,5.33
2012,성별,남자,6.04,6.82,6.15,6.12,5.75,5.37
2012,성별,여자,6.02,6.82,6.13,6.14,5.69,5.29
2012,연령별,10대,5.85,6.85,6.09,5.9,5.42,5
2012,연령별,20대,6.02,6.86,6.09,6.18,5.72,5.23
2012,연령별,30대,6.03,6.8,6.15,6.12,5.74,5.33
2012,연령별,40대,5.97,6.78,6.12,6.07,5.62,5.28
2012,연령별,50대,6.05,6.8,6.16,6.13,5.8,5.37
2012,연령별,60대 이상,6.13,6.85,6.2,6.24,5.84,5.53
2012,학력별,중졸 이하,5.97,6.77,6.17,6.01,5.62,5.27
2012,학력별,고졸 이하,6.08,6.87,6.17,6.17,5.82,5.36
2012,학력별,대졸 이하,6.02,6.81,6.12,6.16,5.7,5.32
2012,학력별,대학원 이상,5.77,6.46,5.82,5.72,5.4,5.46
2012,소득별,100 만원 미만,6.24,6.94,6.23,6.4,6.02,5.61
2012,소득별,100-200만 미만,6.1,6.82,6.22,6.2,5.87,5.4
2012,소득별,200-300만 미만,6.09,6.86,6.2,6.2,5.83,5.36
2012,소득별,300-400만 미만,6.03,6.81,6.13,6.15,5.74,5.31
2012,소득별,400-500만 미만,6.02,6.86,6.16,6.13,5.65,5.32
2012,소득별,500만 이상,5.96,6.76,6.07,6.03,5.64,5.3
2012,혼인상태별,기혼,6.04,6.81,6.16,6.15,5.74,5.36
2012,혼인상태별,미혼,5.99,6.85,6.11,6.09,5.67,5.22
2012,혼인상태별,이혼/별거,6.09,6.89,6.08,6.15,5.85,5.46
2012,혼인상태별,사별,6.01,6.71,6.09,6.13,5.66,5.45
2012,지역대분류,도심권,6.29,7.16,6.3,6.41,6.23,5.37
2012,지역대분류,동북권,5.75,6.55,5.91,5.97,5.44,4.88
2012,지역대분류,서북권,5.72,6.78,5.96,5.77,5.37,4.7
2012,지역대분류,서남권,6.27,6.95,6.39,6.21,5.89,5.89
2012,지역대분류,동남권,6.23,7,6.21,6.4,5.99,5.57
2012,종로구,종로구,6.32,7.29,6.41,6.5,6.04,5.37
2012,중구,중구,6.86,7.41,6.67,7.18,6.87,6.15
2012,용산구,용산구,5.96,6.92,6.01,5.91,6.01,4.94
2012,성동구,성동구,4.61,5.41,5.16,5.15,4.52,2.81
2012,광진구,광진구,5.71,6.96,5.63,5.68,5.27,5.01
2012,동대문구,동대문구,5.38,6.06,5.49,5.7,5.21,4.46
2012,중랑구,중랑구,5.54,6.39,5.44,5.93,5.33,4.63
2012,성북구,성북구,5.87,6.56,6.11,6.05,5.59,5.06
2012,강북구,강북구,6.76,7.34,6.66,6.91,6.4,6.48
2012,도봉구,도봉구,6.38,7,6.62,6.57,6.33,5.39
2012,노원구,노원구,5.64,6.53,6.01,5.78,4.99,4.87
2012,은평구,은평구,5.37,6.47,5.68,5.38,5.15,4.16
2012,서대문구,서대문구,6.07,7.3,6.24,6.16,5.57,5.07
2012,마포구,마포구,5.89,6.75,6.1,5.98,5.49,5.12
2012,양천구,양천구,6.13,7.09,6.67,5.52,5.12,6.27
2012,강서구,강서구,5.99,6.5,6.14,5.75,5.7,5.87
2012,구로구,구로구,6.39,7.11,6.49,6.55,6.17,5.65
2012,금천구,금천구,6.63,7.31,6.74,6.95,6.29,5.86
2012,영등포구,영등포구,6.4,6.93,6.34,6.56,6.14,6.04
2012,동작구,동작구,6.33,7.19,6.32,6.45,6.07,5.65
2012,관악구,관악구,6.28,6.85,6.3,6.31,6.08,5.84
2012,서초구,서초구,6.25,7.1,5.99,5.9,6.18,6.09
2012,강남구,강남구,6.18,6.99,5.91,6.48,6.09,5.41
2012,송파구,송파구,6.49,7.08,6.68,6.8,6.11,5.8
2012,강동구,강동구,5.91,6.79,6.08,6.19,5.54,4.94
2014,서울시,서울시,6.17,7.03,6.16,6.27,5.86,5.53
2014,성별,남자,6.19,7.03,6.19,6.3,5.87,5.57
2014,성별,여자,6.15,7.03,6.13,6.25,5.86,5.5
2014,연령별,10대,6.02,7.1,6.05,6.11,5.65,5.19
2014,연령별,20대,6.12,7.05,6.09,6.26,5.81,5.4
2014,연령별,30대,6.12,7,6.1,6.23,5.81,5.47
2014,연령별,40대,6.13,7.04,6.1,6.16,5.84,5.5
2014,연령별,50대,6.23,7.05,6.19,6.32,5.91,5.67
2014,연령별,60대 이상,6.29,6.97,6.31,6.44,6.01,5.73
2014,학력별,중졸 이하,6.28,7,6.28,6.43,6.04,5.65
2014,학력별,고졸 이하,6.18,7.02,6.14,6.27,5.87,5.58
2014,학력별,대졸 이하,6.13,7.03,6.13,6.23,5.81,5.46
2014,학력별,대학원 이상,6.39,7.27,6.43,6.43,5.96,5.84
2014,소득별,100 만원 미만,6.54,7.08,6.44,6.68,6.41,6.08
2014,소득별,100-200만 미만,6.34,7.02,6.36,6.47,6.09,5.76
2014,소득별,200-300만 미만,6.23,7.05,6.24,6.3,5.95,5.6
2014,소득별,300-400만 미만,6.16,6.99,6.13,6.24,5.88,5.54
2014,소득별,400-500만 미만,6.19,7.02,6.16,6.32,5.9,5.55
2014,소득별,500만 이상,6.06,7.05,6.05,6.16,5.66,5.37
2014,혼인상태별,기혼,6.17,7.01,6.16,6.27,5.87,5.55
2014,혼인상태별,미혼,6.13,7.08,6.11,6.24,5.8,5.43
2014,혼인상태별,이혼/별거,6.31,7.09,6.29,6.33,6.02,5.84
2014,혼인상태별,사별,6.24,6.9,6.25,6.42,5.96,5.68
2014,지역대분류,도심권,5.99,6.76,5.92,6.01,5.99,5.26
2014,지역대분류,동북권,6.15,7.07,6.07,6.18,5.88,5.52
2014,지역대분류,서북권,5.89,6.76,6.02,6.16,5.65,4.86
2014,지역대분류,서남권,6.25,7,6.22,6.32,5.96,5.77
2014,지역대분류,동남권,6.31,7.23,6.36,6.51,5.78,5.66
2014,종로구,종로구,6.26,6.91,6.54,6.33,6.22,5.33
2014,중구,중구,6.07,6.79,6.14,6.29,6.21,4.94
2014,용산구,용산구,5.75,6.64,5.37,5.64,5.72,5.39
2014,성동구,성동구,5.99,6.85,6.17,5.89,5.83,5.21
2014,광진구,광진구,6.24,6.96,6.05,6.24,6.06,5.88
2014,동대문구,동대문구,5.92,6.73,5.77,6.33,5.54,5.22
2014,중랑구,중랑구,5.75,6.88,5.61,5.82,5.44,5
2014,성북구,성북구,6.44,7.3,6.5,6.36,6.44,5.6
2014,강북구,강북구,6.5,7.39,6.31,6.5,6.35,5.94
2014,도봉구,도봉구,5.87,6.87,5.66,5.84,5.4,5.58
2014,노원구,노원구,6.33,7.34,6.33,6.33,5.92,5.7
2014,은평구,은평구,6.05,6.95,6.32,6.41,5.87,4.7
2014,서대문구,서대문구,5.7,6.68,5.67,5.89,5.54,4.71
2014,마포구,마포구,5.84,6.58,5.9,6.07,5.43,5.22
2014,양천구,양천구,6.72,7.67,6.12,6.55,6.55,6.7
2014,강서구,강서구,6.01,6.75,6.07,6.07,5.59,5.58
2014,구로구,구로구,5.85,6.56,6.02,5.72,5.7,5.25
2014,금천구,금천구,6.4,7.31,6.37,6.61,6.2,5.53
2014,영등포구,영등포구,6.49,6.91,6.62,6.83,6.23,5.85
2014,동작구,동작구,6.18,6.86,6.25,6.09,5.94,5.77
2014,관악구,관악구,6.26,7.08,6.26,6.52,5.78,5.64
2014,서초구,서초구,6.56,7.08,6.65,6.95,6.42,5.69
2014,강남구,강남구,6.49,7.24,6.43,6.5,6.3,5.96
2014,송파구,송파구,6.03,7.48,6.27,6.27,4.8,5.35
2014,강동구,강동구,6.23,7.02,6.1,6.41,5.91,5.69
2013,서울시,서울시,6.1,6.91,6.15,6.2,5.77,5.43
2011,서울시,서울시,5.51,6.67,6.1,6.02,5.63,5.18
2015,서울시,서울시,6.23,7.13,6.17,6.33,5.96,5.62
2016,서울시,서울시,6.35,7.31,6.2,6.43,6.09,5.77
